Filing Date,Ticker,Company Name,Transaction Price,Price Bought,Value
2025-02-07 21:14:34,PBF,Pbf Energy Inc.,28.7,27.81999969482422,4305060
2025-02-07 20:45:00,TKO,"Tko Group Holdings, Inc.",163.27,166.41000366210938,54181770
2025-02-07 20:30:26,TKO,"Tko Group Holdings, Inc.",163.27,166.41000366210938,54181770
2025-02-07 20:30:05,TKO,"Tko Group Holdings, Inc.",163.27,166.41000366210938,54181770
2025-02-07 19:54:28,AKRO,"Akero Therapeutics, Inc.",48.0,54.209999084472656,9600000
2025-02-07 19:35:56,KEY,Keycorp /New/,17.85,17.84000015258789,892500
2025-02-07 17:01:57,FLWS,1 800 Flowers Com Inc,8.04,8.0600004196167,2933822
2025-02-07 16:21:19,TECX,"Tectonic Therapeutic, Inc.",50.68,36.470001220703125,39999977
2025-02-07 16:18:52,EL,Estee Lauder Companies Inc,65.8,65.04000091552734,5724373
2025-02-07 16:04:52,MRK,"Merck & Co., Inc.",88.5,87.30500030517578,1327500
2025-02-07 16:04:37,REFLX,Pimco Flexible Real Estate Income Fund,10.49,10.479999542236328,10490000
2025-02-07 15:21:05,LFUS,Littelfuse Inc /de,233.98,232.6300048828125,4094575
2025-02-06 18:46:43,MUR,Murphy Oil Corp,26.51,26.309999465942383,2651415
2025-02-06 07:42:07,JBLU,Jetblue Airways Corp,6.14,6.440000057220459,614340
2025-02-05 18:56:24,PBF,Pbf Energy Inc.,27.47,29.690000534057617,1098968
2025-02-05 16:17:07,MBX,"Mbx Biosciences, Inc.",10.69,11.279999732971191,534500
2025-02-05 16:03:11,AESI,Atlas Energy Solutions Inc.,23.0,21.81999969482422,4999993
